STEP 0; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 0 resources out of10
STEP 22; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 1 resources out of10
STEP 23; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 1 resources out of10
STEP 24; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 1 resources out of10
STEP 25; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 1 resources out of10
STEP 26; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 1 resources out of10
STEP 27; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 1 resources out of10
STEP 28; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 1 resources out of10
STEP 29; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 1 resources out of10
STEP 30; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 1 resources out of10
STEP 31; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 1 resources out of10
STEP 32; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 33; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 7 }. Found 2 resources out of10
STEP 34; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 35; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 36; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 37; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 38; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 39; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 40; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 2 resources out of10
STEP 41; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 42; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 43; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 44; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 45; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 46; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 5 }. Found 2 resources out of10
STEP 47; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 48; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 3 }. Found 2 resources out of10
STEP 49; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 2 }. Found 2 resources out of10
STEP 50; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 1 }. Found 2 resources out of10
STEP 51; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 52; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 53; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 54; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 55; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 2 }. Found 2 resources out of10
STEP 56; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 2 resources out of10
STEP 57; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 58; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 59; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 2 resources out of10
STEP 60; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 61; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 4 }. Found 2 resources out of10
STEP 62; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 2 resources out of10
STEP 63; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 64; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 2 resources out of10
STEP 65; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 66; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 67; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 68; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 69; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 70; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 71; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 72; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 4 }. Found 2 resources out of10
STEP 73; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 74; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 75; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 76; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 77; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 78; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 79; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 80; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 81; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 82; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 83; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 84; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 85; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 86; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 87; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 88; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 7 }. Found 2 resources out of10
STEP 89; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 90; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 91; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 2 resources out of10
STEP 92; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 2 resources out of10
STEP 93; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 94; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 4 }. Found 2 resources out of10
STEP 95; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 96; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 97; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 98; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 99; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 100; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 101; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 102; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 103; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 104; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 105; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 106; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 107; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 108; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 2 resources out of10
STEP 109; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 110; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 111; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 2 resources out of10
STEP 112; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 3 }. Found 2 resources out of10
STEP 113; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 114; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 1 }. Found 2 resources out of10
STEP 115; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 116; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 117; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 118; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 119; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 120; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 121; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 122; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 123; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 124; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 125; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 2 resources out of10
STEP 126; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 127; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 128; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 129; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 130; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 131; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 2 resources out of10
STEP 132; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 133; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 134; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 2 resources out of10
STEP 135; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 136; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 137; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 138; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 139; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 2 resources out of10
STEP 140; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 141; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 5 }. Found 2 resources out of10
STEP 142; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 143; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 144; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 145; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 146; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 147; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 148; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 149; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 150; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 151; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 152; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 153; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 154; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 1 }. Found 2 resources out of10
STEP 155; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 156; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 157; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 158; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 159; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 2 resources out of10
STEP 160; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 2 resources out of10
STEP 161; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 162; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 163; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 164; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 165; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 2 resources out of10
STEP 166; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 2 }. Found 2 resources out of10
STEP 167; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 4 }. Found 2 resources out of10
STEP 168; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 4 }. Found 2 resources out of10
STEP 169; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 170; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 171; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 4 }. Found 2 resources out of10
STEP 172; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 173; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 174; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 175; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 4 }. Found 2 resources out of10
STEP 176; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 177; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 178; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 4 }. Found 2 resources out of10
STEP 179; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 180; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 3 }. Found 2 resources out of10
STEP 181; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 2 resources out of10
STEP 182; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 183; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 2 resources out of10
STEP 184; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 185; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 0 }. Found 2 resources out of10
STEP 186; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 187; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 188; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 2 }. Found 2 resources out of10
STEP 189; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 190; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 191; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 192; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 193; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 2 resources out of10
STEP 194; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 195; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 5 }. Found 2 resources out of10
STEP 196; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 3 }. Found 2 resources out of10
STEP 197; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 198; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 199; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 200; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 1 }. Found 2 resources out of10
STEP 201; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 0 }. Found 2 resources out of10
STEP 202; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 203; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 1 }. Found 2 resources out of10
STEP 204; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 2 }. Found 2 resources out of10
STEP 205; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 2 resources out of10
STEP 206; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 3 }. Found 2 resources out of10
STEP 207; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 0 }. Found 2 resources out of10
STEP 208; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 2 resources out of10
STEP 209; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 7 }. Found 2 resources out of10
STEP 210; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 2 }. Found 2 resources out of10
STEP 211; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 212; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 2 }. Found 2 resources out of10
STEP 213; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 7 }. Found 2 resources out of10
STEP 214; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 0 }. Found 2 resources out of10
STEP 215; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 216; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 5 }. Found 2 resources out of10
STEP 217; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 7 }. Found 2 resources out of10
STEP 218; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
STEP 219; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 5 }. Found 2 resources out of10
STEP 220; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 4 }. Found 2 resources out of10
STEP 221; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 2 resources out of10
STEP 222; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 0 }. Found 2 resources out of10
STEP 223; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 3 }. Found 2 resources out of10
STEP 224; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 225; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 7 }. Found 2 resources out of10
STEP 226; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 5 }. Found 2 resources out of10
STEP 227; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 0 }. Found 2 resources out of10
STEP 228; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 2 resources out of10
STEP 229; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 5 }. Found 2 resources out of10
STEP 230; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 1 }. Found 2 resources out of10
STEP 231; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 232; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 2 resources out of10
STEP 233; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 0 }. Found 2 resources out of10
STEP 234; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 6 }. Found 2 resources out of10
STEP 235; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 6 }. Found 2 resources out of10
STEP 236; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 0 }. Found 2 resources out of10
STEP 237; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 4 }. Found 2 resources out of10
STEP 238; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 4 }. Found 2 resources out of10
STEP 239; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 2 resources out of10
STEP 240; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 4 }. Found 2 resources out of10
STEP 241; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 7 }. Found 2 resources out of10
STEP 242; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 2 }. Found 2 resources out of10
STEP 243; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 2 resources out of10
